,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genres
1096,7bNiR3ub3izOimlqNYM6EE,Chapter 57 - The Unlit Lamp,0,198145,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.701,0.302,0,-16.521,0,0.95,0.746,0.0,0.143,0.331,86.635,3,[]
1097,7bYdh9vIhyvnoK7eFWmR6V,La Sultana - Remasterizado,0,158307,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1924-07-11,0.392,0.301,10,-14.4,1,0.0892,0.995,0.973,0.159,0.685,182.086,4,"['tango', 'vintage tango']"
1098,7cE2k9SwOTEKmTt6fwuGcn,Chapter 30 - The Unlit Lamp,0,185527,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.669,0.316,0,-16.977,0,0.942,0.651,0.0,0.108,0.348,147.611,4,[]
1099,7d2mg4oEdvv3cF0eY9xlo1,Cabecita Plateada - Remasterizado,0,183560,0,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],1924-03-29,0.509,0.121,0,-21.199,0,0.0903,0.995,0.925,0.242,0.681,120.633,4,"['tango', 'vintage tango']"
1100,7dmQ8xK59vGENwrHEYRbUU,Chapter 160 - The Unlit Lamp,0,182265,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.714,0.293,3,-16.219,1,0.945,0.785,0.0,0.116,0.518,80.931,4,[]
1101,7ej62WadX9m2WE4j3M6z2C,Tut-Ankh-Amon - Remasterizado,0,143520,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1924-07-11,0.559,0.431,8,-16.489,1,0.0742,0.996,0.937,0.17,0.753,83.609,4,"['tango', 'vintage tango']"
1102,7fDMK8wNY7WkAV66DFuidN,Chapter 43 - The Unlit Lamp,0,182881,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.63,0.315,0,-16.531,0,0.951,0.723,0.0,0.426,0.451,166.53,4,[]
1103,7fe6pydXnMpUkJq8kcRXpZ,Chapter 72 - The Unlit Lamp,0,181370,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.708,0.314,3,-16.28,1,0.94,0.648,0.0,0.129,0.413,79.671,1,[]
1104,7h2CmRfijYT4szujvhp1wR,Chapter 116 - The Unlit Lamp,0,182027,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.693,0.291,0,-16.433,0,0.939,0.733,0.0,0.334,0.486,136.333,5,[]
1105,7h6wGSGoCEPxzWO1WWhOc3,A New Kind of Man - With a New Kind of Love,0,173733,0,['George Olsen'],['45tQpWrlBy4DMpfAriqfcC'],1924-01-01,0.42,0.392,10,-12.858,1,0.062,0.986,0.767,0.0682,0.881,205.644,4,['vintage jazz']
1106,7heJNccjVnHxMfOxBgZe0d,Chapter 177 - The Unlit Lamp,0,183159,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.714,0.317,0,-16.376,0,0.917,0.734,0.0,0.0984,0.407,125.401,5,[]
1107,7huRRw3dXOnjwLEsuVwoTP,Harvard Blues,0,188173,0,['Jimmy Rushing And His Orchestra'],['0uX8W8ZnuZIybyllsCONBP'],1924,0.468,0.315,1,-12.396,1,0.0344,0.539,0.000287,0.0634,0.642,99.255,4,[]
1108,7hvDp7Mv2tRTz5rpgtBzDH,Chapter 66 - The Unlit Lamp,0,183682,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.625,0.33,3,-16.556,1,0.946,0.657,0.0,0.324,0.392,172.005,5,[]
1109,7iSd5cEI6imdzIqPAYoxfb,Chapter 164 - The Unlit Lamp,0,184622,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.713,0.323,3,-16.344,1,0.921,0.768,0.0,0.119,0.535,129.512,3,[]
1110,7kFARA9UoWoc4UlPUSRZcG,Chapter 136 - The Unlit Lamp,0,182624,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.621,0.311,3,-16.176,1,0.945,0.781,0.0,0.111,0.486,79.767,3,[]
1111,7kIDTIcLMrh9djvypGXayM,La plus bath des javas,0,194893,0,['Georgius'],['0Yly6PvJghpLD3Lj8Kvpcj'],1924,0.651,0.454,0,-12.764,1,0.169,0.993,0.0,0.278,0.826,80.1,4,['vintage chanson']
1112,7lc2R8qGJ6u9Z2SLONAXuf,Chapter 7 - The Unlit Lamp,0,185859,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.687,0.292,3,-16.175,1,0.941,0.778,0.0,0.137,0.537,101.738,3,[]
1113,7m3dJtIc9pmmWbJkle68ig,Grato Recuerdo - Remasterizado,0,161360,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1924-07-11,0.411,0.374,5,-14.544,1,0.0965,0.996,0.968,0.391,0.479,118.286,4,"['tango', 'vintage tango']"
1114,7mCX5q1uv37gUA3iueMXCP,Flying Home,0,194693,0,['Benny Goodman Sextet'],['33N6sGOKJwLGOnq31ZmEl1'],1924,0.708,0.385,8,-12.559,1,0.0351,0.933,0.546,0.0987,0.799,163.106,4,"['bebop', 'big band', 'stride', 'swing']"
1115,7oe1N0iE6JdyqAc5OCRPji,Tuxedo Blues - Remastered,0,187408,0,['Daddy Stovepipe'],['0fS2vDwpa0yPLvxgQZoh10'],1924-01-12,0.668,0.353,4,-6.538,0,0.0441,0.973,0.0397,0.118,0.75,97.06,4,"['harmonica blues', 'jug band']"
1116,7pSljYza5vKRmrxojVumk0,Swanee River,0,255053,0,['Lionel Hampton Orchestra'],['6UftTZlUzZBBl2ctjzLQ1w'],1924,0.425,0.781,1,-11.256,0,0.438,0.994,0.942,0.616,0.738,165.518,4,[]
1117,7pzdYuv6F12QvND495JrQC,Sombras - Remasterizado,0,167560,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1924-07-11,0.31,0.347,10,-19.237,1,0.0943,0.994,0.908,0.12,0.558,71.184,4,"['tango', 'vintage tango']"
1118,7qTVM3w2hPU8TCxkbXpaYF,Chapter 185 - The Unlit Lamp,0,182729,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.636,0.354,10,-16.583,1,0.947,0.658,0.0,0.235,0.354,85.568,4,[]
1119,7sqT6czoCZ3UzcD5lEawqC,Chapter 183 - The Unlit Lamp,0,182857,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.667,0.304,4,-16.307,1,0.945,0.808,0.0,0.175,0.502,75.231,3,[]
1120,7tVUbsfyLXq4ydTSbxo9Gb,Chapter 114 - The Unlit Lamp,0,186015,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.675,0.309,3,-16.388,1,0.951,0.713,0.0,0.166,0.363,83.045,3,[]
1121,7toWoP5tt6YWgZOr333fpj,Mister Bohr - Remasterizado,0,178507,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1924-07-11,0.562,0.258,7,-17.222,1,0.147,0.996,0.94,0.299,0.552,180.423,3,"['tango', 'vintage tango']"
1122,7vB5xJr8UhZKy4yCDcsabv,Chapter 130 - The Unlit Lamp,0,183368,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.733,0.321,9,-16.248,1,0.946,0.768,0.0,0.241,0.481,80.32,4,[]
1123,7vILwE3lK6uJJq5bd6wPBy,Chapter 144 - The Unlit Lamp,0,184854,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.681,0.335,3,-16.323,1,0.943,0.621,0.0,0.208,0.344,100.813,4,[]
1124,7vn67zLZGH5Hxm1rHTLGvQ,Hollin - Remasterizado,0,165960,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1924-07-12,0.495,0.337,10,-15.541,1,0.112,0.996,0.952,0.295,0.468,120.475,4,"['tango', 'vintage tango']"
1125,7z0vTIraYXvDneXdd7phP6,Akşam Olur - Anadolu Koşması,0,166750,0,['Bayan Sultan'],['4Kgs9iA4BoIyqZnfr13nUA'],1924-12-18,0.461,0.13,9,-15.234,0,0.0744,0.994,0.729,0.163,0.488,127.159,4,[]
1126,7zLGAYTVAF2Yplwk7LPn2O,Chapter 184 - The Unlit Lamp,0,183415,0,"['Radclyffe Hall', 'Alice White', 'Synthesized Voice']","['2OJEUmIIPsTAUjil4dOz70', '35AgMyuKAQIoMJZEp3lNao', '6243VDsBeOPl7cOweBHjDb']",1924,0.717,0.351,3,-16.147,1,0.92,0.76,0.0,0.131,0.482,123.028,3,[]
1127,2Pu2Hv2NnitI7yxc3rHQzf,Death and Transfiguration,0,1335000,0,"['Richard Strauss', 'Karl Böhm', 'Staatskapelle Dresden']","['6pAwHPeExeUbMd5w7Iny6D', '3fyr5uksidSlLzsUjRIz5A', '3Vfvyx6OouTxYU3emXonW7']",1924-12-31,0.108,0.183,7,-16.348,1,0.0348,0.972,0.901,0.107,0.0369,91.171,3,"['classical', 'early modern classical', 'german romanticism', 'post-romantic era', 'classical performance', 'german orchestra', 'orchestra', 'orchestral performance']"
1128,3XDharvL8vEyxdQwOQKmww,"On the Sunny Side of the Street (From ""Is Everybody Happy?"")",39,194320,0,['Tommy Dorsey'],['4WoGga7UeRcmjD4ufif4nG'],1925,0.678,0.175,3,-13.021,1,0.0301,0.969,0.00105,0.177,0.58,112.941,4,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'stride', 'swing', 'vocal jazz']"
1129,47c6hVC9hL8KoAclJCVOXC,Marie,33,197787,0,"['Tommy Dorsey', 'Jack Leonard', 'Bunny Berigan']","['4WoGga7UeRcmjD4ufif4nG', '2AXAKE1COdyXySL9LRyPEg', '5mzFDFweHwx7BZFmMtdll7']",1925,0.531,0.17,5,-14.5,1,0.0771,0.991,0.174,0.126,0.805,165.165,4,"['big band', 'jazz trumpet', 'stride', 'swing', 'vintage jazz', 'adult standards', 'easy listening', 'jazz trombone', 'lounge', 'vocal jazz']"
1130,3p0VwUCFW31rwgugbnAGhW,I'm Gettin' Sentimental Over You,32,217253,0,['Tommy Dorsey'],['4WoGga7UeRcmjD4ufif4nG'],1925,0.513,0.108,9,-16.835,1,0.0315,0.992,0.932,0.112,0.149,103.752,4,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'stride', 'swing', 'vocal jazz']"
1131,4ou73CMygT62S9gubMZxIe,Song of India,32,186960,0,['Tommy Dorsey'],['4WoGga7UeRcmjD4ufif4nG'],1925,0.41,0.23,5,-12.827,1,0.0602,0.935,0.888,0.427,0.634,174.066,4,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'stride', 'swing', 'vocal jazz']"
1132,2AATCpoin3pSsUwjLKNCYe,Manhattan Serenade,30,275773,0,['Tommy Dorsey'],['4WoGga7UeRcmjD4ufif4nG'],1925,0.455,0.0804,8,-15.696,1,0.04,0.98,0.000317,0.136,0.406,77.926,4,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'stride', 'swing', 'vocal jazz']"
1133,1PWzXtAx1pla2gVG32JjIf,St. James Infirmary,30,191600,0,['Louis Armstrong & His Savoy Ballroom Five'],['1TxfZgmlWImcpYwIP8F157'],1925,0.705,0.164,5,-12.081,0,0.0557,0.897,1.96e-05,0.124,0.591,116.587,4,[]
1134,3Fc83pvJzQ5VcRFSGlvMCO,Heat Wave,26,181293,0,['Ethel Waters'],['3INcDDCxVKMIQT6rfR7kud'],1925,0.68,0.241,2,-9.866,1,0.0634,0.981,0.0,0.165,0.647,84.91,4,"['big band', 'harlem renaissance', 'stride', 'tin pan alley', 'torch song', 'vintage jazz']"
